title,description,price,discount,release_date,image,video,developer,publisher
Absolute Drift,Absolute Drift is a racing game about becoming a master at the art of drifting.,12.99,,2015-07-29,absolute_drift.jpg,JRLhWZlp8dw,Funselektor Labs Inc.,Funselektor Labs Inc.
Assassin's Creed Origins,"ASSASSIN’S CREED® ORIGINS IS A NEW BEGINNING Ancient Egypt, a land of majesty and intrigue, is disappearing in a ruthless fight for power.",79.99,,2017-10-26,assassin's_creed_origins.jpg,uUKMc2LbsUw,Ubisoft Montreal,Ubisoft
Borderlands 2,The Ultimate Vault Hunter’s Upgrade lets you get the most out of the Borderlands 2 experience.,21.99,,2012-09-17,borderlands_2.jpg,5TW0wJTFLiw,Gearbox Software,2K Games
Brawlhalla,"Brawlhalla is an epic platform fighter for up to 8 players online or locally. And it's free! Join casual free-for-alls, queue for ranked matches, or make a custom room with your friends. Millions of players. Frequent updates. Over thirty unique legends. Come fight for glory in the halls of Valhalla!",21.99,,2017-10-17,brawlhalla.jpg,fnd71bqiiW0,Blue Mammoth Games,Blue Mammoth Games
Call of Duty: WWII,Call of Duty: WWII returns to its roots with a breathtaking experience that redefines World War II for a new gaming generation.,79.99,,2017-11-03,call_of_duty_wwii.jpg,D4Q_XYVescc,Sledgehammer Games,Activision
Counter-Strike: Global Offensive,"Counter-Strike: Global Offensive (CS: GO) will expand upon the team-based action gameplay that it pioneered when it was launched 14 years ago. CS: GO features new maps, characters, and weapons and delivers updated versions of the classic CS content (de_dust, etc.).",16.99,,2012-08-21,counter-strike_global_offensive.jpg,edYCtaNueQY,Valve,Valve
Cuphead,"Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional hand drawn cel animation, watercolor backgrounds, and original jazz recordings.",21.99,,2017-09-29,cuphead.jpg,9SQXoi50,StudioMDHR Entertainment Inc.,StudioMDHR Entertainment Inc.
Dark Souls III,"Dark Souls continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. Prepare yourself and Embrace The Darkness!",66.49,0.6,2016-04-11,dark_souls_iii.jpg,0J4u1FD87FM,"FromSoftware, Inc.",Bandai Namco Entertainment
Deadpool,"There are a few important things I need to say before you crack into my insanely sweet game. (Oof. Here we go again.) I'm a mercenary with an accelerated healing factor. I've been described as unstable, which is just plain coo-coo. (Wait, do sane people say coo-coo?) I'm gonna battle for the safety of humans and mutants. (And even mumans.) Be prepared for just about anything. (Holla!)",43.99,,2013-06-25,deadpool.jpg,2WCcRRs3s6c,High Moon Studios,Activision
Distance,"Distance is an atmospheric racing platformer. Fusing futuristic arcade racing with parkour, survive a deadly, mysterious, neon-drenched city by jumping, rotating, and flying.",21.99,,2014-12-09,distance.jpg,4mDVxz732rk,Refract,Refract
Factorio,"Factorio is a game about building and creating automated factories to produce items of increasing complexity, within an infinite 2D world. Use your imagination to design your factory, combine simple elements into ingenious structures, and finally protect it from the creatures who don't really like you.",24.99,,2016-02-25,factorio.jpg,DR01YdFtWFI,Wube Software LTD.,Wube Software LTD.
Final Fantasy XIV Online,Take part in an epic and ever-changing FINAL FANTASY as you adventure and explore with friends from around the world.,24.99,,2014-02-18,final_fantasy_xiv_online.jpg,39j5v8jlndM,Bandai Namco Studios Inc.,Bandai Namco Studios Inc.
